"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"164511767102361602","","","","","2012-02-01 00:53:56 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Check out this SlideShare presentation : Web-First Design Patterns http://t.co/hi7MAtwA","http://www.slideshare.net/mahemoff/webfirst-design-patterns"
"164121756506918912","","","","","2012-01-30 23:04:10 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video http://t.co/Nhn0tbnT Your Interview with the President","http://youtu.be/artg9gfOwL4?a"
"164081642388979713","","1068","","","2012-01-30 20:24:46 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kurt howdy, enjoyed your post on data scientists. Added you to my inbound list (I keep my default list zero here). What's your expertise?"
"164072069242433537","","","","","2012-01-30 19:46:44 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Extra, Extra - Read All About It: Nearly All Binary Searches and Mergesorts are Broken http://t.co/fet8VJyB","http://googleresearch.blogspot.com/2006/06/extra-extra-read-all-about-it-nearly.html"
"164068915637534720","","","","","2012-01-30 19:34:12 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Talent http://t.co/JcjvgQiO","http://www.victusspiritus.com/2012/01/30/talent/"
"164066869463097344","","","","","2012-01-30 19:26:04 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video http://t.co/3D34pnDv Downtown Spokane Street Musician","http://youtu.be/YPYGeELPpno?a"
"164062988712689665","","","","","2012-01-30 19:10:39 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Everything You Thought You Knew About Learning Is Wrong | GeekDad | http://t.co/w6BYU7sb http://t.co/iCijdlMd","http://Wired.com","http://www.wired.com/geekdad/2012/01/everything-about-learning/"
"164058830190292992","164034166244122626","29058287","","","2012-01-30 18:54:07 +0000","web","@garychou whoa, never heard of webmin before, that looks crazy handy. I've sliced that type of IT away with local + heroku/etc deploys"
"164056676247404544","","","164034085986115587","12735452","2012-01-30 18:45:34 +0000","web","RT @falicon: Killer stats & insight into usernames, passwords, and log in pages -&gt; http://t.co/zoQp7ZFQ","http://pa.ly/h"
"164056656550965249","164034085986115587","12735452","","","2012-01-30 18:45:29 +0000","web","@falicon omg, your username/password article hits home (I'm working on that for a django project today)"
"164056043213697024","164055167627563008","59580078","","","2012-01-30 18:43:03 +0000","web","@mikeyavo yup, sinus infection/soar throat. mostly recuperated but a little low on energy. makes django auth and sessions slow going :("
"164055179795238912","","","164042604898562048","819606","2012-01-30 18:39:37 +0000","web","RT @janl: I already RT?d it, but @roidrage hit a home run with his DynamoDB review: http://t.co/6OS7VpGE","http://www.paperplanes.de/2012/1/30/a-tour-of-amazons-dynamodb.html"
"164054567628177409","164051011646922752","14104438","","","2012-01-30 18:37:11 +0000","web","@orian haha, if only all companies' recruiting vids were so good."
